year,subject,number,question,dis,pass
104,數學,1,1.算式(−1)×(−3)×之值為何？2431(A)411(B)1211(C)413(D),0.54,0.82
104,數學,2,2.已知直線L的方程式為x=3，直線M的方程式為y=−2，判斷下列何者為直線L、直線M畫在坐標平面上的圖形？(A)(B)(C)(D),0.45,0.84
104,數學,3,3.下列各選項中的盒狀圖分別呈現出某班四次小考數學成績的分布情形，哪一個盒狀圖呈現的資料其四分位距最大？(A)(B)(C)(D),0.49,0.69
104,數學,4,4.算式(−3)4−72−之值為何？(−2)3(A)−138(B)−122(C)24(D)40,0.58,0.68
104,數學,5,5.如圖(一)，AB為圓O的直徑，BC為圓O的C一弦，自O點作BC的垂線，且交BC於D點。D若AB=16，BC=12，則△OBD的面積為何？(A)67ABO(B)127(C)15(D)30,0.56,0.62
104,數學,6,6.計算多項式−2x(3x−2)2+3除以3x−2後，所得商式與餘式兩者之和為何？(A)−2x+3(B)−6x2+4x(C)−6x2+4x+3(D)−6x2−4x+3,0.52,0.66
104,數學,7,7.將圖(二)的正四角錐ABCDE沿著其中的四個邊剪開後，形成的展開圖為圖(三)。判斷下列哪一個選項中的四個邊可為此四個邊？(A)AC、AD、BC、DE(B)AB、BE、DE、CD(C)AC、BC、AE、DE(D)AC、AD、AE、BC,0.53,0.58
104,數學,8,8.下列哪一個選項中的等式不成立？(A)38=34(B)(−5)6=(−5)3(C)34×510=32×55(D)(−3)4×(−5)8=(−3)2×(−5)4,0.57,0.62
104,數學,9,9.圖(四)為某餐廳的價目表，今日每份餐點價格均為價目表價格的九折。若恂恂今日在此餐廳點了橙汁雞丁飯後想再點第二份餐點，且兩份餐點的總花費不超過200元，則她的第二份餐點最多有幾種選擇？(A)5(B)7(C)9(D)11,0.41,0.58
104,數學,10,10.如圖(五)，AB切圓O於B點，AC切圓O於12C點，BC分別交圓O、圓O於D、E兩點。若12∠BOD=40°，∠COE=60°，則∠A的度數為12何？(A)100(B)120圖(五)(C)130(D)140,0.59,0.63
104,數學,11,11.圖(六)是P、P、......、P十個點在圓上的位置圖，1210且此十點將圓周分成十等分。今小玉連接PP、PP、12110PP、PP、PP，判斷小玉再連接下列哪一條線段9105667後，所形成的圖形不是線對稱圖形？(A)PP23(B)PP45(C)P7P8圖(六)(D)PP,0.56,0.64
104,數學,12,12.怡君手上有24張卡片，其中12張卡片被畫上O記號，另外12張卡片被畫上X記號。圖(七)表示怡君從手上拿出6張卡片放在桌面的情形，且她打算從手上剩下的卡片中抽出一張卡片。若怡君手上剩下的每張卡片被抽出的機會相等，則她抽出O記號卡片的機率為何？1(A)21(B)34圖(七)(C)95(D),0.54,0.65
104,數學,13,13.已知甲、乙為兩把不同刻度的直尺，且同一把直尺上的刻度之間距離相等，耀軒將此兩把直尺緊貼，並將兩直尺上的刻度0彼此對準後，發現甲尺的刻度36會對準乙尺的刻度48，如圖(八)所示。若今將甲尺向右平移且平移過程中兩把直尺維持緊貼，使得甲尺的刻度0會對準乙尺的刻度4，如圖(九)所示，則此時甲尺的刻度21會對準乙尺的哪一個刻度？(A)24(B)28(C)31(D)32圖(八)圖(九),0.42,0.4
104,數學,14,14.判斷一元二次方程式x2−8x−a=0中的a為下列哪一個數時，可使得此方程式的兩根均為整數？(A)12(B)16(C)20(D)24,0.54,0.55
104,數學,15,"15.如圖(十)，坐標平面上有A(0,a)、B(−9,0)、C(10,0)三點，其中a>0。若∠BAC=95°，則△ABC的外心在第幾象限？(A)一(B)二(C)三(D)四",0.51,0.42
104,數學,16,16.判斷下列各式的值，何者最大？(A)25×132−152(B)16×172−182(C)9×212−132(D)4×312−122,0.36,0.55
104,數學,17,17.已知A地在B地的西方，且有一以A、B兩地為端點的東西向直線道路，其全長為400公里。今在此道路上距離A地12公里處設置第一個看板，之後每往東27公里就設置一個看板，如圖(十一)所示。若某車從此道路上距離A地19公里處出發，往東直行320公里後才停止，則此車在停止前經過的最後一個看板距離A地多少公里？(A)309(B)316(C)336(D)339圖(十一),0.39,0.46
104,數學,18,18.如圖(十二)，△ABC中，BC>AB>AC。甲、乙兩人想在BC上取一點P，使得∠APC=2∠ABC，其作法如下：(甲)作AB的中垂線，交BC於P點，則P即為所求(乙)以B為圓心，AB長為半徑畫弧，交BC於P點，則P即為所求對於兩人的作法，下列判斷何者正確？(A)兩人皆正確圖(十二)(B)兩人皆錯誤(C)甲正確，乙錯誤(D)甲錯誤，乙正確,0.29,0.41
104,數學,19,19.圖(十三)為甲、乙、丙三根筆直的木棍平行擺放在地面上的情形。已知乙有一部分只與甲重疊，其餘部分只與丙重疊，甲沒有與乙重疊的部分的長度為1公尺，丙沒有與乙重疊的部分的長度為2公尺。若乙的長度最長且甲、乙的長度相差x公尺，乙、丙的長度相差y公尺，則乙的長度為多少公尺？(A)x+y+3(B)x+y+1(C)x+y−1(D)x+y−3,0.47,0.46
104,數學,20,20.如圖(十四)，△ABC、△ADE中，C、D兩點分別在AE、AB上，BC與DE相交於F點。若BD=CD=CE，∠ADC+∠ACD=114°，則∠DFC的度數為何？(A)114(B)123(C)132(D)147,0.45,0.4
104,數學,22,22.已知甲校原有1016人，乙校原有1028人，寒假期間甲、乙兩校人數變動的原因只有轉出與轉入兩種，且轉出的人數比為1:3，轉入的人數比也為1:3。若寒假結束開學時甲、乙兩校人數相同，則乙校開學時的人數與原有的人數相差多少？(A)6(B)9(C)12(D)18,0.52,0.31
104,數學,23,23.圖(十五)為兩正方形ABCD、BEFG和AD矩形DGHI的位置圖，其中G、F兩點I分別在BC、EH上。若AB=5，BG=3，G則△GFH的面積為何？BC(A)10EFH(B)1115圖(十五)(C)245(D),0.45,0.4
104,數學,24,24.將甲、乙、丙三個正分數化為最簡分數後，其分子分別為6、15、10，其分母的最小公倍數為360。判斷甲、乙、丙三數的大小關係為何？(A)乙>甲>丙(B)乙>丙>甲(C)甲>乙>丙(D)甲>丙>乙,0.45,0.26
104,數學,25,25.圖(十六)的灰色小三角形為三個全等大三角形的重疊處，且三個大三角形各扣掉灰色小三角形後分別為甲、乙、丙三個梯形。若圖中標示的∠1為58°，∠2為62°，∠3為60°，則關於甲、乙、丙三梯形的高的大小關係，下列敘述何者正確？(A)乙>甲>丙(B)乙>丙>甲(C)丙>甲>乙(D)丙>乙>甲,0.39,0.28
105,數學,1,1.x=−3，y=1為下列哪一個二元一次方程式的解？(A)x+2y=−1(B)x−2y=1(C)2x+3y=6(D)2x−3y=−6,0.51,0.85
105,數學,2,2.算式[−5−(−11)]÷(×4)之值為何？2(A)1(B)168(C)−3128(D)−,0.52,0.84
105,數學,3,3.計算(2x+1)(x−1)−(x2+x−2)的結果，與下列哪一個式子相同？(A)x2−2x+1(B)x2−2x−3(C)x2+x−3(D)x2−3,0.6,0.7
105,數學,4,4.如圖(一)，已知扇形AOB的半徑為10公分，圓心角為54°，AB則此扇形面積為多少平方公分？(A)100π(B)20π54°(C)15π(D)5πO,0.6,0.77
105,數學,5,5.圖(二)數線上的A、B、C三點所表示的數分別為a、b、c。若a−b=3，b−c=5，且原點O與ABCA、B的距離分別為4、1，則關於O的位置，下列圖(二)敘述何者正確？(A)在A的左邊(B)介於A、B之間(C)介於B、C之間(D)在C的右邊,0.46,0.74
105,數學,6,6.多項式77x2−13x−30可因式分解成(7x+a)(bx+c)，其中a、b、c均為整數，求a+b+c之值為何？(A)0(B)10(C)12(D)22,0.51,0.65
105,數學,7,7.圖(三)、圖(四)分別為甲、乙兩班學生參加投籃測驗的投進球數長條圖。若甲、乙兩班學生的投進球數的衆數分別為a、b；中位數分別為c、d，則下列關於a、b、c、d的大小關係，何者正確？(A)a>b，c>d(cid:1176)(cid:2660)(cid:908)(cid:2660)(B)a>b，c<d(cid:1307)(cid:1307)(cid:4775)(cid:4775)2525(C)a<b，c>d(((cid:915)(cid:33)20(cid:915)(cid:33)20(D)a<b，c<d(cid:33)(cid:33),0.59,0.65
105,數學,8,8.如圖(五)，有一平行四邊形ABCD與一正方形CEFG，其中E點在AD上。若∠ECD=35°，∠AEF=15°，則∠B的度數為何？AED(A)50F(B)55(C)70(D)75,0.61,0.64
105,數學,9,9.小昱和阿帆均從同一本書的第1頁開始，逐頁依順序在每一頁上寫一個數。小昱在第1頁寫1，且之後每一頁寫的數均為他在前一頁寫的數加2；阿帆在第1頁寫1，且之後每一頁寫的數均為他在前一頁寫的數加7。若小昱在某頁寫的數為101，則阿帆在該頁寫的數為何？(A)350(B)351(C)356(D)358,0.53,0.71
105,數學,10,10.甲箱內有4顆球，顏色分別為紅、黃、綠、藍；乙箱內有3顆球，顏色分別為紅、黃、黑。小賴打算同時從甲、乙兩個箱子中各抽出一顆球，若同一箱中每球被抽出的機會相等，則小賴抽出的兩顆球顏色相同的機率為何？1(A)31(B)62(C)77(D),0.61,0.57
