Province,District,Year,Poverty Rate (%),Employment in industry (% of total employment)
Balochistan,Awaran,2004-01-01,57.0,12.19
Balochistan,Awaran,2006-01-01,69.0,7.36
Balochistan,Awaran,2008-01-01,83.0,42.57
Balochistan,Awaran,2010-01-01,42.0,9.49
Balochistan,Awaran,2012-01-01,68.0,40.92
Balochistan,Awaran,2014-01-01,57.0,38.78
Balochistan,Barkhan,2004-01-01,61.0,5.23
Balochistan,Barkhan,2006-01-01,76.0,13.82
Balochistan,Barkhan,2008-01-01,82.0,15.2
Balochistan,Barkhan,2010-01-01,64.0,10.67
Balochistan,Barkhan,2012-01-01,51.0,6.46
Balochistan,Barkhan,2014-01-01,59.0,6.91
Balochistan,Chagai,2004-01-01,74.0,7.52
Balochistan,Chagai,2006-01-01,82.0,20.71
Balochistan,Chagai,2008-01-01,74.0,15.12
Balochistan,Chagai,2010-01-01,56.0,16.22
Balochistan,Chagai,2012-01-01,53.0,20.28
Balochistan,Chagai,2014-01-01,58.0,18.87
Balochistan,Dera Bugti,2006-01-01,81.0,16.7
Balochistan,Dera Bugti,2008-01-01,85.0,10.27
Balochistan,Dera Bugti,2010-01-01,64.0,8.58
Balochistan,Dera Bugti,2012-01-01,64.0,8.87
Balochistan,Dera Bugti,2014-01-01,68.0,31.11
Balochistan,Gwadar,2004-01-01,49.0,11.55
Balochistan,Gwadar,2006-01-01,59.0,17.47
Balochistan,Gwadar,2008-01-01,71.0,12.18
Balochistan,Gwadar,2010-01-01,50.0,13.04
Balochistan,Gwadar,2012-01-01,35.0,21.82
Balochistan,Gwadar,2014-01-01,47.0,11.3
Balochistan,Harnai,2004-01-01,66.0,10.25
Balochistan,Harnai,2006-01-01,77.0,11.14
Balochistan,Harnai,2008-01-01,64.0,9.9
Balochistan,Harnai,2010-01-01,19.0,14.34
Balochistan,Harnai,2012-01-01,35.0,19.56
Balochistan,Harnai,2014-01-01,65.0,18.56
Balochistan,Jaffarabad,2004-01-01,49.0,5.23
Balochistan,Jaffarabad,2006-01-01,73.0,3.01
Balochistan,Jaffarabad,2008-01-01,80.0,9.12
Balochistan,Jaffarabad,2010-01-01,64.0,9.31
Balochistan,Jaffarabad,2012-01-01,62.0,9.28
Balochistan,Jaffarabad,2014-01-01,64.0,10.64
Balochistan,Jhal Magsi,2004-01-01,71.0,5.96
Balochistan,Jhal Magsi,2006-01-01,86.0,12.64
Balochistan,Jhal Magsi,2008-01-01,81.0,4.69
Balochistan,Jhal Magsi,2010-01-01,56.0,19.62
Balochistan,Jhal Magsi,2012-01-01,46.0,18.13
Balochistan,Jhal Magsi,2014-01-01,65.0,13.06
Balochistan,Kachhi,2004-01-01,64.0,11.7
Balochistan,Kachhi,2006-01-01,76.0,4.47
Balochistan,Kachhi,2008-01-01,84.0,8.93
Balochistan,Kachhi,2010-01-01,55.0,16.4
Balochistan,Kachhi,2012-01-01,49.0,21.83
Balochistan,Kachhi,2014-01-01,57.0,23.71
Balochistan,Kalat,2004-01-01,52.0,3.2
Balochistan,Kalat,2006-01-01,74.0,7.29
Balochistan,Kalat,2008-01-01,83.0,10.59
Balochistan,Kalat,2010-01-01,42.0,13.26
Balochistan,Kalat,2012-01-01,50.0,36.88
Balochistan,Kalat,2014-01-01,44.0,31.47
Balochistan,Kech,2004-01-01,51.0,12.24
Balochistan,Kech,2006-01-01,62.0,28.03
Balochistan,Kech,2008-01-01,71.0,32.88
Balochistan,Kech,2010-01-01,55.0,21.73
Balochistan,Kech,2012-01-01,46.0,20.83
Balochistan,Kharan,2004-01-01,60.0,10.45
Balochistan,Kharan,2006-01-01,68.0,17.5
Balochistan,Kharan,2008-01-01,75.0,12.79
Balochistan,Kharan,2010-01-01,56.0,10.73
Balochistan,Kharan,2012-01-01,50.0,16.12
Balochistan,Kharan,2014-01-01,58.0,18.58
Balochistan,Khuzdar,2004-01-01,55.0,6.69
Balochistan,Khuzdar,2006-01-01,77.0,8.15
Balochistan,Khuzdar,2008-01-01,77.0,7.44
