Province,District,Year,Poverty Rate (%),Employment in agriculture (% of total employment)
Balochistan,Awaran,2004-01-01,57.0,67.39
Balochistan,Awaran,2006-01-01,69.0,67.25
Balochistan,Awaran,2008-01-01,83.0,29.03
Balochistan,Awaran,2010-01-01,42.0,68.29
Balochistan,Awaran,2012-01-01,68.0,43.5
Balochistan,Awaran,2014-01-01,57.0,38.82
Balochistan,Barkhan,2004-01-01,61.0,69.1
Balochistan,Barkhan,2006-01-01,76.0,57.08
Balochistan,Barkhan,2008-01-01,82.0,60.17
Balochistan,Barkhan,2010-01-01,64.0,65.36
Balochistan,Barkhan,2012-01-01,51.0,67.82
Balochistan,Barkhan,2014-01-01,59.0,69.81
Balochistan,Chagai,2004-01-01,74.0,21.47
Balochistan,Chagai,2006-01-01,82.0,28.57
Balochistan,Chagai,2008-01-01,74.0,32.92
Balochistan,Chagai,2010-01-01,56.0,45.64
Balochistan,Chagai,2012-01-01,53.0,33.46
Balochistan,Chagai,2014-01-01,58.0,49.96
Balochistan,Dera Bugti,2006-01-01,81.0,38.24
Balochistan,Dera Bugti,2008-01-01,85.0,67.71
Balochistan,Dera Bugti,2010-01-01,64.0,81.48
Balochistan,Dera Bugti,2012-01-01,64.0,76.21
Balochistan,Dera Bugti,2014-01-01,68.0,26.73
Balochistan,Gwadar,2004-01-01,49.0,56.53
Balochistan,Gwadar,2006-01-01,59.0,39.96
Balochistan,Gwadar,2008-01-01,71.0,31.42
Balochistan,Gwadar,2010-01-01,50.0,38.47
Balochistan,Gwadar,2012-01-01,35.0,34.91
Balochistan,Gwadar,2014-01-01,47.0,33.11
Balochistan,Harnai,2004-01-01,66.0,52.92
Balochistan,Harnai,2006-01-01,77.0,53.18
Balochistan,Harnai,2008-01-01,64.0,38.18
Balochistan,Harnai,2010-01-01,19.0,59.76
Balochistan,Harnai,2012-01-01,35.0,36.19
Balochistan,Harnai,2014-01-01,65.0,59.01
Balochistan,Jaffarabad,2004-01-01,49.0,70.09
Balochistan,Jaffarabad,2006-01-01,73.0,79.78
Balochistan,Jaffarabad,2008-01-01,80.0,69.36
Balochistan,Jaffarabad,2010-01-01,64.0,66.56
Balochistan,Jaffarabad,2012-01-01,62.0,65.93
Balochistan,Jaffarabad,2014-01-01,64.0,67.31
Balochistan,Jhal Magsi,2004-01-01,71.0,69.51
Balochistan,Jhal Magsi,2006-01-01,86.0,64.86
Balochistan,Jhal Magsi,2008-01-01,81.0,67.94
Balochistan,Jhal Magsi,2010-01-01,56.0,55.3
Balochistan,Jhal Magsi,2012-01-01,46.0,58.65
Balochistan,Jhal Magsi,2014-01-01,65.0,67.64
Balochistan,Kachhi,2004-01-01,64.0,49.16
Balochistan,Kachhi,2006-01-01,76.0,59.96
Balochistan,Kachhi,2008-01-01,84.0,57.68
Balochistan,Kachhi,2010-01-01,55.0,50.84
Balochistan,Kachhi,2012-01-01,49.0,44.42
Balochistan,Kachhi,2014-01-01,57.0,53.93
Balochistan,Kalat,2004-01-01,52.0,76.68
Balochistan,Kalat,2006-01-01,74.0,74.98
Balochistan,Kalat,2008-01-01,83.0,63.22
Balochistan,Kalat,2010-01-01,42.0,69.79
Balochistan,Kalat,2012-01-01,50.0,41.26
Balochistan,Kalat,2014-01-01,44.0,46.29
Balochistan,Kech,2004-01-01,51.0,38.78
Balochistan,Kech,2006-01-01,62.0,16.57
Balochistan,Kech,2008-01-01,71.0,11.4
Balochistan,Kech,2010-01-01,55.0,30.49
Balochistan,Kech,2012-01-01,46.0,31.56
Balochistan,Kharan,2004-01-01,60.0,53.95
Balochistan,Kharan,2006-01-01,68.0,30.13
Balochistan,Kharan,2008-01-01,75.0,35.1
Balochistan,Kharan,2010-01-01,56.0,53.36
Balochistan,Kharan,2012-01-01,50.0,43.08
Balochistan,Kharan,2014-01-01,58.0,36.28
Balochistan,Khuzdar,2004-01-01,55.0,69.36
Balochistan,Khuzdar,2006-01-01,77.0,60.47
Balochistan,Khuzdar,2008-01-01,77.0,55.9
Balochistan,Khuzdar,2010-01-01,45.0,46.37
Balochistan,Khuzdar,2012-01-01,46.0,43.42
Balochistan,Khuzdar,2014-01-01,49.0,44.82
Balochistan,Killa Abdullah,2004-01-01,65.0,23.02
Balochistan,Killa Abdullah,2006-01-01,88.0,26.89
Balochistan,Killa Abdullah,2008-01-01,62.0,34.31
Balochistan,Killa Abdullah,2010-01-01,33.0,25.73
Balochistan,Killa Abdullah,2012-01-01,51.0,23.6
