Province,District,Year,Poverty Rate (%),Access to improved drinking water (% of population),Access to piped water (% of population),Access to improved toilet facilities (% of population),Open defecation (% of population),Access to electricity (% of population),Households' mobile phone ownership (% of population),"Accessibility, health (% of population within 15 minutes to clinic/hospital)","Accessibility, transportation (% of population within 15 minutes to public transportation)",Household size,Household dependency ratio,"Occupancy, present occupancy status-owner (% of population)","Occupancy, present occupancy status-rented (% of population)","Occupancy, present occupancy status-other (% of population)",Improved roof material (% of population),Improved wall material (% of population),Improved roof and wall material (% of population),Household members per room,Overcrowding (% of population),"Labor force participation rate (% of working age population, 15-64 years old)",Employment in agriculture (% of total employment),Employment in industry (% of total employment),Employment services (% of total employment),Wage and salaried employment (% of total employment),"Self-employment, non-agriculture (% of total employment)","Self-employment, agriculture (% of total employment)",Unpaid employment (% of total employment),Child labor (% of children aged 10-17),"Net school enrollment, primary school, 6-10 years old (% net)","Net school enrollment, middle school, 11-13 years old (% net)","Youth literacy, 15-24 years old (% of population aged 15-24)","Adult literacy, 25 or more years old (% of population aged 25 or more)","Primary completion rate, 14-17 years old (% of population aged 14-17)","Youth literacy gender parity index, 15-24 years old","Adult literacy gender parity index, 25 or more years old","Primary completion gender parity index, 14-17 years old","Net enrolment rate in primary gender parity index, 6-10 years old","Net enrolment rate in middle school gender parity index, 11-13 years old",Urban share of population (% of population)
Balochistan,Awaran,2004,57.0,50.52,40.3,1.38,57.21,9.16,0.36,6.5,56.17,6.09,0.45,98.03,0.87,1.1,1.69,0.64,0.0,3.85,54.57,71.72,67.39,12.19,20.41,23.64,8.2,23.02,45.14,66.86,44.99,16.83,33.46,13.89,38.17,0.23,0.11,0.57,0.45,0.57,0.0
Balochistan,Awaran,2006,69.0,43.16,28.7,0.1,50.68,14.39,0.0,47.56,52.87,5.26,0.38,96.17,0.51,3.32,1.43,0.24,0.0,2.31,15.55,62.62,67.25,7.36,25.39,36.86,11.18,19.79,32.18,59.31,67.19,18.37,47.7,18.63,40.27,0.39,0.15,0.65,0.82,0.34,0.0
Balochistan,Awaran,2008,83.0,16.26,10.99,0.0,5.56,39.95,43.17,12.93,74.87,5.61,0.4,92.45,0.48,7.07,0.53,15.13,0.34,3.73,53.42,50.48,29.03,42.57,28.4,50.09,14.4,16.05,19.47,46.02,61.44,21.15,51.43,28.44,51.5,0.28,0.09,0.37,0.53,0.23,0.0
Balochistan,Awaran,2010,42.0,25.51,23.69,5.48,1.32,28.33,52.23,13.74,93.08,5.43,0.4,96.02,0.0,0.0,3.42,27.07,2.42,2.86,26.67,61.93,68.29,9.49,22.22,32.3,5.26,22.49,39.95,30.06,77.28,40.01,64.31,36.93,81.84,0.6,0.41,0.69,0.82,0.3,0.0
Balochistan,Awaran,2012,68.0,32.08,9.14,4.28,3.92,25.99,58.73,14.01,69.53,7.31,0.44,100.0,0.0,0.0,1.34,32.23,0.93,3.78,53.65,53.25,43.5,40.92,15.58,23.87,18.74,21.17,36.23,44.02,46.89,29.19,50.52,35.41,42.06,0.58,0.24,0.45,0.42,0.4,0.0
Balochistan,Awaran,2014,57.0,55.57,10.22,0.25,0.11,39.57,46.21,29.33,96.45,7.79,0.41,99.81,0.0,0.0,7.34,23.26,3.62,3.51,51.94,67.62,38.82,38.78,22.4,31.16,23.79,11.56,33.39,55.31,59.1,20.48,61.82,30.62,58.35,0.6,0.19,0.98,0.4,0.14,0.0
Balochistan,Barkhan,2004,61.0,41.1,26.54,6.08,84.89,59.43,0.0,9.71,44.65,7.13,0.46,96.42,1.75,1.84,6.84,30.33,3.92,3.32,41.1,52.1,69.1,5.23,25.67,23.65,7.38,35.94,33.03,37.1,44.39,15.96,40.55,15.72,39.92,0.2,0.04,0.3,0.54,0.44,9.7
Balochistan,Barkhan,2006,76.0,10.9,10.34,4.1,51.47,81.4,17.91,16.33,38.79,6.86,0.49,95.83,0.99,3.18,13.66,28.24,4.96,2.7,26.43,48.08,57.08,13.82,29.1,35.79,9.74,32.49,21.98,27.27,58.1,17.26,49.74,24.23,41.58,0.2,0.19,0.23,0.4,0.58,7.71
Balochistan,Barkhan,2008,82.0,14.99,0.94,6.24,43.58,60.7,12.99,11.8,12.39,6.51,0.42,94.96,0.9,4.14,3.84,21.48,3.13,3.07,37.58,51.72,60.17,15.2,24.62,31.29,10.74,27.16,30.8,29.61,38.01,8.24,32.31,16.06,30.75,0.16,0.08,0.2,0.35,0.29,11.57
Balochistan,Barkhan,2010,64.0,46.62,13.05,26.25,40.1,85.18,40.26,8.74,24.06,6.93,0.4,89.91,4.96,7.63,15.35,27.13,10.18,3.99,62.12,35.63,65.36,10.67,23.97,44.19,4.97,33.11,17.73,8.37,24.1,5.28,17.0,10.27,12.3,0.23,0.14,0.26,0.29,0.1,11.24
Balochistan,Barkhan,2012,51.0,33.12,11.05,13.43,31.01,86.01,25.84,4.49,46.67,7.29,0.57,97.68,1.39,1.67,0.87,25.26,0.87,2.5,10.29,46.97,67.82,6.46,25.72,28.76,9.22,37.62,24.4,18.02,66.98,21.32,51.93,17.5,64.31,0.27,0.06,0.32,0.51,0.31,11.49
Balochistan,Barkhan,2014,59.0,31.45,6.32,28.66,37.64,55.13,50.0,8.06,40.41,7.26,0.56,98.61,0.73,0.73,5.12,24.25,5.12,2.39,11.67,48.39,69.81,6.91,23.28,24.65,7.22,40.79,26.94,30.55,55.04,22.65,40.56,14.98,49.32,0.21,0.03,0.44,0.28,0.45,12.55
Balochistan,Chagai,2004,74.0,57.13,49.14,3.65,4.3,34.42,0.21,29.25,56.11,7.62,0.44,96.76,2.49,0.75,2.39,3.66,1.7,3.27,37.97,41.3,21.47,7.52,71.01,68.29,9.53,10.71,11.47,19.01,33.51,9.66,42.96,20.24,29.55,0.42,0.19,0.63,0.82,0.36,14.28
Balochistan,Chagai,2006,82.0,35.8,34.56,3.7,57.59,26.1,0.77,45.19,81.18,7.13,0.44,97.84,0.9,1.26,4.61,4.6,3.27,3.25,40.97,40.57,28.57,20.71,50.73,63.14,9.46,16.48,10.92,19.63,49.04,16.24,50.29,21.17,43.46,0.4,0.06,0.59,0.76,0.88,9.86
Balochistan,Chagai,2008,74.0,28.02,11.66,1.05,40.84,23.01,6.56,3.65,99.65,7.19,0.47,93.5,2.91,3.6,4.38,4.66,4.05,2.9,30.96,42.6,32.92,15.12,51.96,67.5,11.84,12.27,8.38,21.51,53.45,21.18,49.29,24.23,52.29,0.26,0.06,0.27,0.65,0.35,13.57
