Province,District,Year,Poverty Rate (%),"Labor force participation rate (% of working age population, 15-64 years old)"
Balochistan,Awaran,2004-01-01,57.0,71.72
Balochistan,Awaran,2006-01-01,69.0,62.62
Balochistan,Awaran,2008-01-01,83.0,50.48
Balochistan,Awaran,2010-01-01,42.0,61.93
Balochistan,Awaran,2012-01-01,68.0,53.25
Balochistan,Awaran,2014-01-01,57.0,67.62
Balochistan,Barkhan,2004-01-01,61.0,52.1
Balochistan,Barkhan,2006-01-01,76.0,48.08
Balochistan,Barkhan,2008-01-01,82.0,51.72
Balochistan,Barkhan,2010-01-01,64.0,35.63
Balochistan,Barkhan,2012-01-01,51.0,46.97
Balochistan,Barkhan,2014-01-01,59.0,48.39
Balochistan,Chagai,2004-01-01,74.0,41.3
Balochistan,Chagai,2006-01-01,82.0,40.57
Balochistan,Chagai,2008-01-01,74.0,42.6
Balochistan,Chagai,2010-01-01,56.0,45.21
Balochistan,Chagai,2012-01-01,53.0,45.54
Balochistan,Chagai,2014-01-01,58.0,50.02
Balochistan,Dera Bugti,2006-01-01,81.0,60.14
Balochistan,Dera Bugti,2008-01-01,85.0,61.66
Balochistan,Dera Bugti,2010-01-01,64.0,61.75
Balochistan,Dera Bugti,2012-01-01,64.0,61.69
Balochistan,Dera Bugti,2014-01-01,68.0,43.16
Balochistan,Gwadar,2004-01-01,49.0,48.33
Balochistan,Gwadar,2006-01-01,59.0,46.59
Balochistan,Gwadar,2008-01-01,71.0,42.93
Balochistan,Gwadar,2010-01-01,50.0,51.09
Balochistan,Gwadar,2012-01-01,35.0,49.59
Balochistan,Gwadar,2014-01-01,47.0,44.38
Balochistan,Harnai,2004-01-01,66.0,45.48
Balochistan,Harnai,2006-01-01,77.0,42.77
Balochistan,Harnai,2008-01-01,64.0,42.44
Balochistan,Harnai,2010-01-01,19.0,50.02
Balochistan,Harnai,2012-01-01,35.0,45.9
Balochistan,Harnai,2014-01-01,65.0,43.31
Balochistan,Jaffarabad,2004-01-01,49.0,60.16
Balochistan,Jaffarabad,2006-01-01,73.0,70.94
Balochistan,Jaffarabad,2008-01-01,80.0,61.54
Balochistan,Jaffarabad,2010-01-01,64.0,53.05
Balochistan,Jaffarabad,2012-01-01,62.0,54.72
Balochistan,Jaffarabad,2014-01-01,64.0,59.46
Balochistan,Jhal Magsi,2004-01-01,71.0,46.22
Balochistan,Jhal Magsi,2006-01-01,86.0,47.64
Balochistan,Jhal Magsi,2008-01-01,81.0,50.42
Balochistan,Jhal Magsi,2010-01-01,56.0,47.35
Balochistan,Jhal Magsi,2012-01-01,46.0,46.3
Balochistan,Jhal Magsi,2014-01-01,65.0,48.67
Balochistan,Kachhi,2004-01-01,64.0,44.38
Balochistan,Kachhi,2006-01-01,76.0,43.56
Balochistan,Kachhi,2008-01-01,84.0,48.96
Balochistan,Kachhi,2010-01-01,55.0,53.62
Balochistan,Kachhi,2012-01-01,49.0,46.19
Balochistan,Kachhi,2014-01-01,57.0,48.1
Balochistan,Kalat,2004-01-01,52.0,61.62
Balochistan,Kalat,2006-01-01,74.0,68.6
Balochistan,Kalat,2008-01-01,83.0,57.78
Balochistan,Kalat,2010-01-01,42.0,64.18
Balochistan,Kalat,2012-01-01,50.0,62.9
Balochistan,Kalat,2014-01-01,44.0,76.28
Balochistan,Kech,2004-01-01,51.0,44.28
Balochistan,Kech,2006-01-01,62.0,43.72
Balochistan,Kech,2008-01-01,71.0,48.15
Balochistan,Kech,2010-01-01,55.0,53.94
Balochistan,Kech,2012-01-01,46.0,45.46
