cereal,manufacturer,calories,sugar
Apple_Cinnamon_Cheerios,General Mills,110,10
Apple_Jacks,Kelloggs,112,14
Cap'n'Crunch,Quaker Oats,120,12
Cheerios,General Mills,110,1
Cinnamon_Toast_Crunch,General Mills,120,9
Cocoa_Puffs,General Mills,110,13
Corn_Flakes,Kelloggs,100,5
Corn_Pops,Kelloggs,111,12
Froot_Loops,Kelloggs,110,17
Frosted_Flakes,Kelloggs,110,15
Grape-Nuts,Post,115,3
Kix,General Mills,110,3
Lucky_Charms,General Mills,110,12
Raisin_Nut_Bran,General Mills,100,8
Rice_Krispies,Kelloggs,125,3
Shredded_Wheat,Nabisco,80,0
Special_K,Kelloggs,110,5
Trix,General Mills,110,14
Wheaties,General Mills,100,1
