year,subject,number,question,dis,pass
104,英語,1,1.  Look at the picture.  The girl drew two            on the wall.(A) circles(B) lines(C) points(D) squares   ,0.6,0.76
104,英語,2,"2.  This dress is pretty,            it does not look good on me.(A) so  (B) but  (C) or  (D) if",0.47,0.85
104,英語,3,"3.  Getting up early on a cold morning is not easy,           ?(A) are you  (B) do you  (C) does it  (D) is it",0.62,0.58
104,英語,4,4.	 Tonight	I’ll	stay	at	the	office	until	I	           the work.(A)	finish	 (B)	am	finishing	 (C)	finished	 (D)	will	finish,0.6,0.54
104,英語,5,5.  Charles            a day in the department store looking for a hat for his wife.(A) cost  (B) spent  (C) saw  (D) made,0.61,0.7
104,英語,6,6.  Tom            ten pounds over the past two months.  He looks much thinner now.(A) loses  (B) has lost  (C) will lose  (D) was losing,0.5,0.58
104,英語,7,7.  I don’t like any one of these three watches.  Can you show me            one?(A) the others  (B) other  (C) either  (D) another ,0.52,0.53
104,英語,8,8.  The waiters are asked to be           ; they should always smile and remember to say “Welcome” and “Please.”(A) honest  (B) polite  (C) special  (D) strong,0.65,0.66
104,英語,9,"9.  On Children’s Day, Ms. Lee, a famous storybook writer,            to Molly’s Bookstore to talk about her new book.  My two little kids just can’t wait to see her.(A) came  (B) was coming  (C) has come  (D) is going to come",0.68,0.56
104,英語,10,"10.  No one thought James would appear at Katie’s party.  So when he           , everyone was surprised and could not believe their eyes.  (A) would  (B) was  (C) had  (D) did",0.53,0.54
104,英語,11,"11.  B&J Café            known as the tallest building in town.  However, O&G Restaurant became the tallest building in 2010.(A) has been  (B) had been  (C) is   (D) would be",0.48,0.55
104,英語,12,12.  Actor David Piper became tired of talking about the movie       after he was interviewed about it many times.(A) he is famous     (B) that he is famous(C) that is famous for  (D) he is famous for,0.45,0.3
104,英語,13,13.  (A) got better	 	 	 	 								(B) been warm(C) changed a lot    (D) become wet and cold,0.63,0.57
104,英語,14,14.  (A) made two plans for you           	(B) worried about your trip to here (C) decided to take you to a nice place  (D) prepared everything you’ve asked for ,0.59,0.53
104,英語,15,15.  (A) we’ll agree with each other         	(B) don’t worry if it rains (C) we all love animals very much  (D) don’t forget to check the weather ,0.64,0.63
104,英語,16,16.  (A) we cannot really call it a neighbor  (B) we do not know anything about it yet  (C) we might not be able to stay there for long  (D) we are not sure how long it takes to get there,0.56,0.4
104,英語,17,"17.  (A) What’s more, it is not water that makes HD189773b look blue  (B) With its blue color, HD189773b could be a second Earth for us  (C) Except for its blue color, HD189773b is nothing like our home planet  (D) Because of its blue color, people guess there might be life on HD189773b",0.55,0.55
104,英語,18,18.  (A) gives us hope  (B) took hard work                       (C) has changed our life        (D) helps us know more about Earth   ,0.61,0.5
104,英語,19,"19.  On the order list, Ginny ordered a sandwich with cheese, a fruit milk shake, and a fruit drink without ice.  How much did she have to pay for her food?(A) $300.   (B) $320.   (C) $385.   (D) $410.",0.53,0.79
104,英語,20,20.  Ginny wants to go to Howell’s Bowl again during Joy Time.  When will she possibly go there?(A) 11:00 a.m. on Wednesday.(B) 2:30 p.m. on Monday.(C) 8:00 p.m. on Friday.(D) 10:00 p.m. on Thursday.,0.6,0.66
104,英語,21,21.  What question did the teacher most likely ask in class? likely 可能(A) “What do you want to do in the future?”(B) “What’s your plan for the coming vacation?”(C) “What do you like to talk about with your friends?”(D) “What’s your favorite thing to do with your family?”,0.68,0.68
104,英語,22,22.  What do we know from the reading?(A) Lily is good at making clothes.(B) One of Bill’s parents is an animal doctor.(C) Ryan enjoys meeting people on the Internet.(D) Anna was once very sick and stayed in the hospital for a long time.,0.61,0.67
104,英語,23,23.  What does them mean?(A) Pets.(B) Books.(C) Stories.(D) Parents.,0.51,0.54
104,英語,24,24.  What does it mean when someone is lousy at something?(A) They are famous for it.(B) They cannot do it well.(C) They think it is important.(D) They are not interested in it.,0.53,0.54
104,英語,25,25.  What can we learn from the preface?(A) How Foster started his own restaurant.(B) When Foster’s father married Foster’s mother.(C) What Foster’s mother taught him about cooking.(D) How Foster learned the art of cooking from his father.,0.31,0.39
104,英語,26,26.  Below are the cards which four kids have taken since they began the game.  Who has won the game? (A) Anna:  	→	 	→	 .  (B) Kate:  	→	 	→	 .(C) Billy:   	→	 	→	 .  (D) Ivan:   	→	 	→	 . ,0.48,0.64
104,英語,27,27.  What can we learn about the game?(A) One can never begin his turn from Lion King.    (B)	The	cards	can	be	used	to	decide	who	goes	first.(C)	One	can	never	get	to	Light	Church	at	the	first	turn.(D) The cards can be used to decide where to start the game. ,0.46,0.37
