year,subject,number,question,dis,pass
104,社會,1,1.圖(一)為臺灣1980年、2010年及推估2040年的扶養比示意圖，依據年代先後順序排列應為下列何者？(A)甲乙丙(cid:17392)(cid:7447)(cid:7383)(B)甲丙乙(C)乙甲丙(D)乙丙甲,0.37,0.89
104,社會,2,2.根據聯合國《海洋法公約》規定，各國擁有在其經濟海域內資源的使用權。臺灣因四面環海，島嶼眾多，擁有廣大的經濟海域，但因與鄰近國家的經濟海域重疊，經常有漁業上的糾紛。上文所述的鄰近國家不包含下列何者？(A)中國(B)日本(C)南韓(D)菲律賓,0.36,0.78
104,社會,3,3.圖(二)為颱風、梅雨、寒害、乾旱在臺灣西(cid:20)(cid:21)(cid:22)(cid:23)(cid:24)(cid:25)(cid:26)(cid:27)(cid:28)(cid:20)(cid:19)(cid:20)(cid:20)(cid:20)(cid:21)(cid:13766)(cid:13766)(cid:13766)(cid:13766)(cid:13766)(cid:13766)(cid:13766)(cid:13766)(cid:13766)(cid:13766)(cid:13766)(cid:13766)南部主要發生的月分，下列配對何者正確？(cid:17392)(A)甲為梅雨(cid:7447)(cid:7383)(B)乙為颱風(cid:7359)(C)丙為寒害圖(二)(D)丁為乾旱,0.52,0.68
104,社會,4,4.「新加坡的土地面積雖然不大，但因具有某項優越的條件，加上政府政策的指導，成功地讓新加坡的煉油產業快速發展，現已成為世界第三大煉油中心。」文中所述的優越條件應是指下列何者？(A)為主要石油生產國(B)人口多且勞力充足(C)地理位置佳且海運便利(D)國內重工業市場需求大,0.54,0.68
104,社會,5,5.圖(三)顯示歷年2月分北極海冰範圍變化情((cid:1325)17.0(cid:4068)形，該變化趨勢與下列同時期何者的變化趨16.5(cid:1139)勢最為相似？(cid:1041)16.0(cid:998)(A)全球淡水資源需求(cid:1626)15.5(B)全球海平面的高度)15.0(C)全球熱帶雨林面積14.5(D)全球二氧化碳濃度,0.48,0.69
104,社會,6,6.圖(四)為某雜誌上刊載的紀念戳章及其簡介，根據內容判斷，此紀念章最可能是描繪下列何時臺灣的景象？(A)荷蘭統治時期(B)清朝統治前期(C)清朝統治後期圖(四)(D)日本統治時期,0.41,0.9
104,社會,7,7.以下是一段十七世紀的文獻記載：「西班牙人每年向該地的已婚原住民課徵二隻雞和三甘當米的稅，原住民感到無法忍受，所以襲擊該地的西班牙城堡，殺了三十個西班牙(cid:908)人。」此段記載最可能是描繪圖(五)中何處的情況？(A)甲&甘當：一種量米的容器。(cid:1063)(B)乙(cid:909)(C)丙(D)丁,0.59,0.7
104,社會,8,8.十六世紀時，馬丁路德批判羅馬教會，揭開宗教改革的序幕。下列資料中何者最可能是馬丁路德的主張？(A)(B)(C)(D),0.54,0.69
104,社會,9,9.某書提及：「清廷想收回民間集資興建鐵路的權利，所以針對民間已投資者提出補償：在湖南、湖北，投資金額全數償還；在廣東，僅償還60%，其餘40%由政府股票支付；在四川，政府僅發給股票。這種處置引起四川士紳激憤，朝廷為控制騷亂，將部分湖北軍隊調往四川。」上述情況最可能為下列何者的發生提供了機會？(A)自強運動(B)戊戌政變(C)武昌起義(D)義和團事變,0.59,0.66
104,社會,10,10.圖(六)描繪中國某一朝代的官員正在接待來訪使節的情況，根據圖片內容判斷，此朝代最可能是下列何者？(cid:27030)(cid:27030)(cid:13871)(cid:13871)(cid:12698)(cid:12698)(cid:27989)(cid:27989)(cid:8661)(cid:8661)(A)周朝(cid:8734)(cid:8734)(cid:12500)(cid:12500)(cid:10959)(cid:10959)(cid:11627)(cid:11627)(cid:13422)(cid:13422)(cid:13366)(cid:13366)(B)漢朝(cid:11483)(cid:11483)(cid:20035)(cid:20035)(cid:15055)(cid:15055)(C)唐朝(cid:9673)(cid:7741)(cid:9673)(cid:7741)(cid:7741)(cid:20163)(cid:7741)(cid:20163)(cid:13453)(cid:7741)(cid:13453)(cid:7741)(D)清朝(cid:20163)(cid:20163)(cid:20163)(cid:20163),0.48,0.58
104,社會,11,11.公民老師在課堂上說明關於「價值觀念變遷」的主題，並請四位同學舉出適當的例子加以說明。下列哪一位同學舉出的例子，最符合上述主題？(A)阿智：網際網路科技發達(B)小強：性別平等意識抬頭(C)美美：立法委員席次調整(D)小明：大眾捷運系統普及,0.42,0.85
104,社會,12,12.表(一)是大榮家一年來理財投資結果的分析表(一)表。根據表中內容判斷，大榮家所選擇的各投入金額獲利金額投資工具(萬元)(萬元)項投資工具中，何者的投資報酬率最高？(A)股票股票501(B)債券債券1002(C)基金基金201(D)存款存款250.5,0.45,0.8
104,社會,13,13.發生刑事案件時，偵查人員蒐集、鑑定相關證據，並研判嫌疑人的心態、動機等，以呈現犯罪事實，其目的在提供下列何人作為「判決」的依據？(A)法官(B)檢察官(C)原告律師(D)刑事警察,0.42,0.7
104,社會,14,14.過去大家總認為「法不入家門」，但近年來家庭暴力問題逐漸受到重視，因此政府制定《家庭暴力防治法》，以處理相關問題。下列何者屬於上述法規處理此類問題的作法？(A)以感化教育處理少年暴力問題(B)禁止兒童及少年出入不良場所(C)法院核發保護令保障受害者安全(D)由法院宣告剝奪不適任父母親權,0.15,0.69
104,社會,15,15.右列是小諭舉例說明某一概念的部分內容，皮皮辦理簽證，利用假期到國根據內容判斷，這應是在探討《憲法》中的外旅遊。哪一項人民基本權利？(A)平等權毛毛關心政治，經常在報紙上(B)自由權投稿發表對政治議題的看法。(C)受益權(D)參政權,0.37,0.84
104,社會,16,16.圖(七)為臺灣某一縣市的海岸地形特徵N示意圖，根據圖中資訊判斷，最有可能(cid:12470)(cid:11220)(cid:11179)(cid:10111)(cid:18112)(cid:18409)(cid:9693)(cid:23464)(cid:11111)(cid:18097)(cid:15413)(cid:11126)是顯示下列哪一縣市的海岸地形特徵？(cid:5212)(cid:3995)(cid:3995)(cid:5212)(A)新北市(B)臺南市(cid:1137)(cid:2220)(cid:2220)(cid:1137)(C)屏東縣(D)花蓮縣(cid:2266)(cid:2266),0.26,0.76
104,社會,17,17.近年來，鳳梨酥成為國人及外國遊客(cid:18668)(cid:14283)(cid:433)(cid:12895)(cid:13300)(cid:24329)(cid:24255)(cid:22459)(cid:7706)(cid:433)(cid:8643)(cid:22427)(cid:24949)(cid:9196)喜愛的伴手禮之一，產值逐年上升。(cid:1176)(cid:908)(cid:1063)(cid:909)圖(八)為鳳梨酥產銷過程的示意圖，圖(八)甲、乙、丙、丁哪些屬於第三級產業？(A)甲乙(B)甲丙(C)乙丁(D)丙丁(cid:17392),0.47,0.67
104,社會,18,18.某位旅行家從北非乾燥地區出發，向北經地中海到達北歐，圖(九)是他記錄途中民宅常見的(cid:7447)窗戶形式。在他的旅途中依序記錄的窗戶形式應為下列何者？(A)甲→乙→丙(B)甲→丙→乙(cid:7383)(C)丙→甲→乙(D)丙→乙→甲,0.43,0.62
104,社會,19,19.圖(十)為中國某一氣候資料的等值線分布圖，圖中甲＜乙＜丙＜丁，則該氣候資料應為下列何者？(cid:17392)(A)年雨量(cid:7447)(cid:7383)(B)年溫差(C)七月均溫(cid:7359)(D)年雨量變率&年雨量變率＝年降水量變率,0.44,0.65
104,社會,20,20.圖(十一)是北美洲沿35°N的地形剖面圖。圖中甲、乙、丙、丁何處的年降水量最少？(m)(A)甲30002500(B)乙2000(C)丙15001000(D)丁500,0.27,0.52
104,社會,21,21.一份歷史文告寫道：「自宋朝覆亡，北方外族入主中原，百年不到，天下大亂。我本是平民，被眾人推舉，率軍攻占金陵(今南京)，再北上驅逐胡虜。色目等雖為異族，但若衷心歸順，仍是中華子民。」以上敘述與下列哪一史事關係最密切？(A)朱元璋起兵反元(B)鄭成功反清復明(C)孫中山創建中華民國(D)洪秀全建立太平天國,0.61,0.66
104,社會,22,22.圖(十二)為臺灣某一史前文化遺址的圖片，根據其內容判斷，此一文化應為下列何者？(A)長濱文化圖(十二)(B)圓山文化(C)大坌坑文化(D)十三行文化,0.5,0.76
104,社會,23,23.圖(十三)呈現某時期中華民國政府對於一本辭典的審查結果，根據圖片內容判斷，此辭典最可能是在下列何時接受政府單位的審查？(A)聯俄容共時期(B)寧漢分裂時期(C)八年抗戰時期(D)臺灣戒嚴時期圖(十三),0.24,0.36
104,社會,24,24.圖(十四)是歷史上某人宣誓的內容，該宣誓和下列何者最有關係？圖(十四)(A)上古印度的種姓制度(B)古典希臘的民主政治(C)中古西歐的封建制度(D)近代法國的君權神授,0.63,0.65
104,社會,25,25.右列是某次美國外交聲明的概要，根據我國政府希望各國在中國的商業內容判斷，美國為何發表此一聲明？和航運能享受平等待遇，我國人民(A)闡明門戶開放政策，維護在華利益的利益，也不得因列強在華畫分勢(B)要求中國開港通商，發動鴉片戰爭力範圍而受到損害，故反對列強在(C)參與瓜分中國領土，確保勢力範圍大清帝國領土內的獨占權利，或對(D)議定《天津條約》內容，保護僑民安全土地的控制權。,0.55,0.69
104,社會,26,26.據報載，我國某縣的財政狀況長期入不敷出，導致當地政府的財政問題日益嚴重，恐將出現延遲發放基層公務人員薪水的情形。為了解決上述問題，下列何者最可能是該縣政府依法採行的方法？(A)調高所得稅的課徵稅率(B)發展地方特色產業活動(C)維持市場上的交易秩序(D)提高社會福利支出比例,0.42,0.51
104,社會,27,27.某黨主席在一場選舉活動中，為該黨候選人李大同拉票的發言內容如下：「李大同已多次連任，具有豐富的經驗，相信他一定能為大家好好的監督政府，請各位選民繼續給他連任的機會。」李大同所參選的公職人員最可能是下列何者？(A)市長(B)鎮長(C)監察委員(D)立法委員,0.5,0.59
