年度,科目,題號,通過率,鑑別度
112,國文,1,0.85,0.31
112,英語聽力,1,0.91,0.49
112,數學,1,0.89,0.4
112,社會,1,0.92,0.39
112,自然,1,0.8,0.42
112,國文,2,0.83,0.39
112,英語聽力,2,0.75,0.61
112,英語,2,0.73,0.67
112,數學,2,0.87,0.44
112,社會,2,0.87,0.49
112,自然,2,0.85,0.44
112,國文,3,0.75,0.47
112,英語聽力,3,0.82,0.44
112,英語,3,0.71,0.68
112,數學,3,0.89,0.39
112,社會,3,0.82,0.5
112,自然,3,0.93,0.33
112,國文,4,0.75,0.51
112,英語聽力,4,0.75,0.65
112,英語,4,0.6,0.57
112,數學,4,0.8,0.57
112,社會,4,0.69,0.4
112,自然,4,0.8,0.35
112,國文,5,0.67,0.43
112,英語聽力,5,0.82,0.5
112,英語,5,0.72,0.63
112,數學,5,0.77,0.57
112,社會,5,0.91,0.43
112,自然,5,0.78,0.46
112,國文,6,0.6,0.19
112,英語聽力,6,0.8,0.66
112,英語,6,0.76,0.57
112,數學,6,0.77,0.57
112,社會,6,0.82,0.53
112,自然,6,0.83,0.41
112,國文,7,0.74,0.52
112,英語聽力,7,0.8,0.55
112,英語,7,0.72,0.68
112,數學,7,0.7,0.61
112,社會,7,0.79,0.45
112,自然,7,0.78,0.52
112,國文,8,0.76,0.42
112,英語聽力,8,0.74,0.54
112,英語,8,0.74,0.65
112,數學,8,0.7,0.56
112,社會,8,0.76,0.5
112,自然,8,0.66,0.51
112,國文,9,0.55,0.5
112,英語聽力,9,0.68,0.54
112,英語,9,0.64,0.71
112,數學,9,0.72,0.45
112,社會,9,0.92,0.36
112,自然,9,0.68,0.54
112,國文,10,0.71,0.53
112,英語聽力,10,0.67,0.63
112,英語,10,0.65,0.67
112,數學,10,0.58,0.59
112,社會,10,0.62,0.35
112,自然,10,0.71,0.54
112,國文,11,0.62,0.34
112,英語聽力,11,0.58,0.46
112,英語,11,0.65,0.7
112,數學,11,0.66,0.44
112,社會,11,0.88,0.37
112,自然,11,0.78,0.48
112,國文,12,0.7,0.55
112,英語聽力,12,0.81,0.61
112,英語,12,0.63,0.61
112,數學,12,0.58,0.66
112,社會,12,0.93,0.28
112,自然,12,0.59,0.49
112,國文,13,0.61,0.47
112,英語聽力,13,0.84,0.63
112,英語,13,0.58,0.56
