年度,科目,題號,題目
110,國文,1,1.「大地是我的□，以軟軟的稻草為蓆，早出的月亮，是天花板上的□□。天色漸暗，一匹黑紗帳自動掛下，那是天底下唯一的一件蚊子進得來出不去的蚊帳，於是，翻身隨手拖一束酥酥鬆鬆的稻草當毯子。竹篁裡正播送著田園交響的最後一個樂章――□□□。」這段文字的空格處，依序應填入下列何者最恰當？(A)床／吊燈／催眠曲(B)家／浮雕／起床號(C)夢／掛鐘／安魂曲(D)
110,國文,2,2.根據右圖，下列說明何者最恰當？(A)A點反映現在科技發展的速率(B)B點反映現在人類適應變化的速率(C)人類未來的適應力終將追上科技發展的速率(D)
110,國文,3,3.根據這份簡介，可以明確得知下列何者？(A)翠山步道可看見最多種類的林木(B)五月花季時可在山林步道觀賞油桐花(C)從登峰步道攀上最高處後只能原路折返(D)
110,國文,4,4.下列選項「」中的文字，何組讀音相同？(A)「潰」不成軍／回「饋」鄉里(B)險要關「隘」／滿而不「溢」(C)雀「屏」中選／「摒」除陋習(D)
110,國文,5,5.下列文句，何者有語病？(A)在午後沉悶的公寓裡，嚮往海邊戲水的心情忽然澎湃起來(B)老家的庭園很寬闊，井然有序的種了滿園玫瑰，十分荒蕪(C)如果無法克服最艱難的險阻，至少也要勇於嘗試，而非澈底放棄(D)
110,國文,6,6.「神話是民族的夢。遠古的神話，出自先民的集體創作，由口頭傳說到文字記載。神話雖然是虛構的，卻植根於現實生活的基礎上，反映了先民對於自然現象的解釋和想像，同時又顯現了先民對抗大自然的搏鬥精神、對幸福自由的渴望和追尋，以及偉大愛情的歌頌等。神話不僅為後世的文學藝術提供豐富的美麗題材，更是民族文化的寶藏。」根據這段文字，下列關於神話的敘述何者最恰當？(A)神話呈現先民面對大自然的種種心態與想望(B)文學藝術作品為神話提供了豐富的靈感與素材(C)神話的可貴在於它如實保存了先民生活的樣貌(D)
110,國文,7,7.「海上垃圾桶的概念始於兩位衝浪者，他們在世界各地目睹聚集在碼頭的大量汙染物，故而想改善這個現象。海上垃圾桶是由大型纖維網製成，架設於2mm碼頭附近且漂在海面上，以收集不同尺寸的汙染物，最小可攔住直徑的浮動碎屑，當發生溢油事件時，也能派上極大的用場。」依據這段文字，下列關於海上垃圾桶的作用何者正確？(A)收集海底的垃圾(B)預防溢油事件發生(C)攔截沿海的汙染物(D)
110,國文,8,8.以下是職棒本季最新戰況報導：「在參賽的四支隊伍中，一路墊底的鹿隊在下半季戰績扶搖直上，先趕上已無緣晉級的猴隊，再追過原本排名第二的鯊隊，甚至準備一舉超越豹隊。」根據報導，下列關於四隊目前戰績的敘述，何者最恰當？(A)(B)鹿隊獨占鰲頭猴隊敬陪末座(C)(D)
110,國文,9,9.「名利竟如何？歲月蹉跎，幾番風雨幾晴和。愁水愁風愁不盡，總是南柯。」這段文字是鄭板橋經過多年的宦海浮沉，有所感悟而寫下。其中的心境與體會和下列何者最相近？(A)悔嘆少年不努力，臨老徒傷懷(B)體悟官場雖險惡，仍應潔身自持(C)看透世情，視榮祿富貴如夢一場(D)
110,國文,10,10.小拓讀到一首詩〈宿山房即事〉：「一個孤僧獨自歸，關門閉戶掩柴扉。三更半夜子時分，杜鵑謝豹子規啼。」他覺得詩中意思相同的語詞重複出1現，於是改寫如下：「孤僧獨自回，閉戶掩柴扉。半夜子時分，杜鵑喚子歸。」小拓修改後的詩，哪一句沒有重複使用意思相同的語詞？(A)孤僧獨自回(B)閉戶掩柴扉1.謝豹：鳥名，即杜鵑(C)半夜子時分(D)
