年度,類別,科目,題號,數值
112,通過率,國文,1,0.85
112,通過率,英語聽力,1,0.91
112,通過率,數學,1,0.89
112,通過率,社會,1,0.92
112,通過率,自然,1,0.8
112,通過率,國文,2,0.83
112,通過率,英語聽力,2,0.75
112,通過率,英語,2,0.73
112,通過率,數學,2,0.87
112,通過率,社會,2,0.87
112,通過率,自然,2,0.85
112,通過率,國文,3,0.75
112,通過率,英語聽力,3,0.82
112,通過率,英語,3,0.71
112,通過率,數學,3,0.89
112,通過率,社會,3,0.82
112,通過率,自然,3,0.93
112,通過率,國文,4,0.75
112,通過率,英語聽力,4,0.75
112,通過率,英語,4,0.6
112,通過率,數學,4,0.8
112,通過率,社會,4,0.69
112,通過率,自然,4,0.8
112,通過率,國文,5,0.67
112,通過率,英語聽力,5,0.82
112,通過率,英語,5,0.72
112,通過率,數學,5,0.77
112,通過率,社會,5,0.91
112,通過率,自然,5,0.78
112,通過率,國文,6,0.6
112,通過率,英語聽力,6,0.8
112,通過率,英語,6,0.76
112,通過率,數學,6,0.77
112,通過率,社會,6,0.82
112,通過率,自然,6,0.83
112,通過率,國文,7,0.74
112,通過率,英語聽力,7,0.8
112,通過率,英語,7,0.72
112,通過率,數學,7,0.7
112,通過率,社會,7,0.79
112,通過率,自然,7,0.78
112,通過率,國文,8,0.76
112,通過率,英語聽力,8,0.74
112,通過率,英語,8,0.74
112,通過率,數學,8,0.7
112,通過率,社會,8,0.76
112,通過率,自然,8,0.66
112,通過率,國文,9,0.55
112,通過率,英語聽力,9,0.68
112,通過率,英語,9,0.64
112,通過率,數學,9,0.72
112,通過率,社會,9,0.92
112,通過率,自然,9,0.68
112,通過率,國文,10,0.71
112,通過率,英語聽力,10,0.67
112,通過率,英語,10,0.65
112,通過率,數學,10,0.58
112,通過率,社會,10,0.62
112,通過率,自然,10,0.71
112,通過率,國文,11,0.62
112,通過率,英語聽力,11,0.58
112,通過率,英語,11,0.65
112,通過率,數學,11,0.66
112,通過率,社會,11,0.88
112,通過率,自然,11,0.78
112,通過率,國文,12,0.7
112,通過率,英語聽力,12,0.81
112,通過率,英語,12,0.63
