序號,章,節,概念,次概念,考法,題組,題組題幹,題組圖1,題組圖2,題幹,題幹圖1,題幹圖2,選項A,選項B,選項C,選項D,圖A,圖B,圖C,圖D,出處,答案
7,06生殖,1細胞分裂與減數分裂,染色體的組成,,,,,,,將洋蔥根尖細胞中的基因、染色體及細胞核作一比較，此三者大小關係為何？,,,基因＞染色體＞細胞核,細胞核＞染色體＞基因,細胞核＞基因＞染色體,染色體＞細胞核＞基因,,,,,090基本學測一,B
11,01生命世界,2動植物細胞的比較,細胞構造的比較,,,,,,,琪琪用複式顯微鏡觀察洋蔥表皮細胞和蘑菇的菌絲細胞，並比較這兩種細胞的構造。下列敘述何者正確？,,,二者皆具有細胞壁及葉綠體,二者皆不具有細胞壁及葉綠體,二者皆具有細胞壁，但不具有葉綠體,二者皆具有葉綠體，但不具有細胞壁,,,,,090基本學測一,C
66,02養分,3光合作用,光合作用的過程,,實驗設計,,,,,小明用水蘊草進行實驗，裝置如圖中甲和乙，並定時記錄試管頂端的氣體量，下列何者為本實驗的主要目的？,m0092,,水溫對光合作用速率的影響,光照對光合作用速率的影響,水量對呼吸作用速率的影響,試管口徑大小對呼吸作用速率的影響,,,,,090基本學測一,A
135,03運輸,2循環系統,血液,血球的功能,,,,,,小華腳上的傷口因細菌感染而化膿，此時關於血球的變化，下列敘述何者正確？,,,紅血球數目增加,白血球數目增加,紅血球數目減少,白血球數目減少,,,,,090基本學測一,B
145,03運輸,2循環系統,血液,血漿的功能,,,,,,下列哪一種物質，不經由血漿運送？,,,尿素,抗體,胰液,生長素,,,,,090基本學測一,C
188,04協調,1神經系統,神經傳遞路徑,,,,,,,小惠縫衣服時被針刺到手指尖端，立刻將手縮回，下列敘述何者正確？,,,小惠感到痛及手縮回都是大腦反應的結果,小惠感到痛及手縮回都是脊髓反應的結果,小惠感到痛是大腦反應的結果；手縮回是脊髓反應的結果,小惠感到痛是脊髓反應的結果；手縮回是大腦反應的結果,,,,,090基本學測一,C
205,05恆定,2氣體恆定,呼吸運動,呼吸運動的調控,,,,,,小美跑800公尺後，呼吸變快，圖中何者是控制呼吸加速的主要部位？,m0205,,甲,乙,丙,丁,,,,,090基本學測一,C
255,06生殖,2無性生殖,營養器官繁殖,,,,,,,下圖為一種田裡的植物，可由莖的節長出新的植物體，這屬於下列何種生殖方式？,m0227,,有性生殖,斷裂生殖,孢子繁殖,營養繁殖,,,,,090基本學測一,D
284,06生殖,3動物有性生殖,有性生殖綜合性問題,,,,,,,某養雞場養了很多蛋雞，但是都沒有和公雞交配，則下列敘述何者正確？,,,沒有交配的母雞不會生蛋,生出的蛋含單套染色體,生出的蛋沒有小白點,生出的蛋可孵出小雞,,,,,090基本學測一,B
382,09分類,4植物界,植物的特徵,,多種生物的比較,,,,,將四種植物依下圖所示方式分類，這是以下列何種構造的有無作為分類的依據？,m0286,,花,種子,葉形,維管束,,,,,090基本學測一,A
426,10生態,1族群與群集,族群大小,,,,,,,某一山區的山羌在1998年至1999年間的族群個體變化如下：出生15隻，死亡7隻，同時期又有2對山羌遷入，沒有遷出。下列有關此山羌族群的推論，何者最適當？,,,此山區的山羌正在減少,此山區的山羌族群達到平衡,此山區的山羌有增加的趨勢,此山區的環境惡化不適合山羌生存,,,,,090基本學測一,C
433,10生態,1族群與群集,讀圖分析數據,,判讀數據,,,,,阿都對學校裡的一窩螞蟻作了三天的觀察，計算離開蟻窩的螞蟻數目，每次觀察5分鐘，其結果如下表。由結果可得到下列哪一項推論？,m0311,,第二天覓食活動旺盛,上午7：00前螞蟻並不活動,11：00～15：00螞蟻活動頻繁,螞蟻上午的活動情況比下午好,,,,,090基本學測一,C
507,02養分,1養分,養分檢驗,,,g0202,,,,愛莉絲夢境中見到桌上有四瓶不明溶液及一瓶水，如下圖，旁邊有一張紙條，內容如下：若想變小必須喝含有葡萄糖的液體；若想變大必須喝酸性的液體；若想隱形必須喝含葉綠素的液體；若同時喝了兩種或多於兩種溶液，則會中毒。另外，櫃子裡有四籃東西如下表：在夢境中，愛莉絲想變小，需喝含葡萄糖的液體。她應利用哪一籃的器材測定出含葡萄糖的液體？,m0061,m0062,甲,乙,丙,丁,,,,,090基本學測一,B
508,02養分,3光合作用,光合作用的實驗器材,,,g0202,,,,愛莉絲夢境中見到桌上有四瓶不明溶液及一瓶水，如下圖，旁邊有一張紙條，內容如下：若想變小必須喝含有葡萄糖的液體；若想變大必須喝酸性的液體；若想隱形必須喝含葉綠素的液體；若同時喝了兩種或多於兩種溶液，則會中毒。另外，櫃子裡有四籃東西如下表：在夢境中，愛莉絲想隱形，需喝含葉綠素的液體，下列方法中，何者可找出含葉綠素的液體？,m0101,m0102,利用甲籃器材從不明溶液中測出葉綠素,利用丙籃器材從不明溶液中測出葉綠素,利用甲及乙籃器材溶出葉綠素,利用丙及丁籃器材溶出葉綠素,,,,,090基本學測一,C
564,10生態,7環境,汙染,,,g1105,,,,在環境中，存在一些化合物，當它進入生物體時，會產生像激素一樣的作用，而干擾生物正常的生理機能，例如：有些土壤含有多氯聯苯、DDT(一種殺蟲劑)，空氣含有戴奧辛，以及水中的TBT(三丁基錫)等，這些化合物稱為環境荷爾蒙。大約四十年前，美國生態學家發現DDT會使某些鳥類的卵殼變薄；最近我國的海洋學者發現TBT會使多種雌性貝類產生雄性生殖器。TBT常被添加於船舶油漆中，以防止貝類或藻類附著於船身；且由於它能殺菌，也常添加於工業用水中，甚至添加在衣物以防止汗臭。TBT會微量溶於水中，而散布至其他地區。一旦TBT進入生物體內，將經由食物鏈轉移並累積。例如：蚵螺喜食牡蠣，而牡蠣會濾食水中的浮游生物，因此曾發現，在某些牡蠣及蚵螺體內含有相當高量的TBT。TBT的汙染若持續下去，可能會加強雄化現象，使雌蚵螺變性成為雄蚵螺，以致於雌雄性別失去平衡，進而造成族群銳減甚至消失。目前我們還不知道TBT對人體的影響為何，但世界糧食組織及世界衛生組織發出警告：TBT對人類可能造成傷害。某些國家已禁止使用TBT，我國也已公告TBT為毒性物質，廠商必須申報才能製造、輸入及販賣。有關環境荷爾蒙的敘述，下列何者正確？,,,皆由生物體內的細胞分泌,會影響到生物激素的作用,只會干擾生殖器官的發育,在水域環境中才能夠發現,,,,,090基本學測一,B
565,10生態,7環境,生物放大,,,g1105,,,,在環境中，存在一些化合物，當它進入生物體時，會產生像激素一樣的作用，而干擾生物正常的生理機能，例如：有些土壤含有多氯聯苯、DDT(一種殺蟲劑)，空氣含有戴奧辛，以及水中的TBT(三丁基錫)等，這些化合物稱為環境荷爾蒙。大約四十年前，美國生態學家發現DDT會使某些鳥類的卵殼變薄；最近我國的海洋學者發現TBT會使多種雌性貝類產生雄性生殖器。TBT常被添加於船舶油漆中，以防止貝類或藻類附著於船身；且由於它能殺菌，也常添加於工業用水中，甚至添加在衣物以防止汗臭。TBT會微量溶於水中，而散布至其他地區。一旦TBT進入生物體內，將經由食物鏈轉移並累積。例如：蚵螺喜食牡蠣，而牡蠣會濾食水中的浮游生物，因此曾發現，在某些牡蠣及蚵螺體內含有相當高量的TBT。TBT的汙染若持續下去，可能會加強雄化現象，使雌蚵螺變性成為雄蚵螺，以致於雌雄性別失去平衡，進而造成族群銳減甚至消失。目前我們還不知道TBT對人體的影響為何，但世界糧食組織及世界衛生組織發出警告：TBT對人類可能造成傷害。某些國家已禁止使用TBT，我國也已公告TBT為毒性物質，廠商必須申報才能製造、輸入及販賣。根據上文推斷，在同一受TBT汙染的水域中，下列何者含TBT的濃度最高？,,,海水中,牡蠣族群,蚵螺族群,浮游生物,,,,,090基本學測一,C
566,10生態,7環境,汙染,,,g1105,,,,在環境中，存在一些化合物，當它進入生物體時，會產生像激素一樣的作用，而干擾生物正常的生理機能，例如：有些土壤含有多氯聯苯、DDT(一種殺蟲劑)，空氣含有戴奧辛，以及水中的TBT(三丁基錫)等，這些化合物稱為環境荷爾蒙。大約四十年前，美國生態學家發現DDT會使某些鳥類的卵殼變薄；最近我國的海洋學者發現TBT會使多種雌性貝類產生雄性生殖器。TBT常被添加於船舶油漆中，以防止貝類或藻類附著於船身；且由於它能殺菌，也常添加於工業用水中，甚至添加在衣物以防止汗臭。TBT會微量溶於水中，而散布至其他地區。一旦TBT進入生物體內，將經由食物鏈轉移並累積。例如：蚵螺喜食牡蠣，而牡蠣會濾食水中的浮游生物，因此曾發現，在某些牡蠣及蚵螺體內含有相當高量的TBT。TBT的汙染若持續下去，可能會加強雄化現象，使雌蚵螺變性成為雄蚵螺，以致於雌雄性別失去平衡，進而造成族群銳減甚至消失。目前我們還不知道TBT對人體的影響為何，但世界糧食組織及世界衛生組織發出警告：TBT對人類可能造成傷害。某些國家已禁止使用TBT，我國也已公告TBT為毒性物質，廠商必須申報才能製造、輸入及販賣。在某河流沿岸有一製造TBT工廠，因為意外事故導致TBT外洩並流入該河河口附近。海流沿著海岸由南朝北流，如圖所示。圖中甲、乙、丙、丁四處，何地的雌蚵螺產生雄性生殖器的機會最大？,m0333,,甲地,乙地,丙地,丁地,,,,,090基本學測一,B
567,10生態,7環境,汙染,,,g1105,,,,在環境中，存在一些化合物，當它進入生物體時，會產生像激素一樣的作用，而干擾生物正常的生理機能，例如：有些土壤含有多氯聯苯、DDT(一種殺蟲劑)，空氣含有戴奧辛，以及水中的TBT(三丁基錫)等，這些化合物稱為環境荷爾蒙。大約四十年前，美國生態學家發現DDT會使某些鳥類的卵殼變薄；最近我國的海洋學者發現TBT會使多種雌性貝類產生雄性生殖器。TBT常被添加於船舶油漆中，以防止貝類或藻類附著於船身；且由於它能殺菌，也常添加於工業用水中，甚至添加在衣物以防止汗臭。TBT會微量溶於水中，而散布至其他地區。一旦TBT進入生物體內，將經由食物鏈轉移並累積。例如：蚵螺喜食牡蠣，而牡蠣會濾食水中的浮游生物，因此曾發現，在某些牡蠣及蚵螺體內含有相當高量的TBT。TBT的汙染若持續下去，可能會加強雄化現象，使雌蚵螺變性成為雄蚵螺，以致於雌雄性別失去平衡，進而造成族群銳減甚至消失。目前我們還不知道TBT對人體的影響為何，但世界糧食組織及世界衛生組織發出警告：TBT對人類可能造成傷害。某些國家已禁止使用TBT，我國也已公告TBT為毒性物質，廠商必須申報才能製造、輸入及販賣。針對「減少TBT對環境的汙染」這個觀點而言，下列何項措施最有效？,,,公告TBT為毒性物質，要申報才能製造,禁止使用TBT，並研發無毒性的代用品,研究TBT對生物及人體的危害程度,對輸入及販賣TBT者加徵課稅,,,,,090基本學測一,B
