年度,科目,題號,題目
104,國文,1,1.小敬搬新家，阿嬌欲送禮金表達祝賀之意。下列題辭，何者最適合寫在賀儀封套上？(A)近悅遠來(B)造福桑梓(C)宜室宜家(D)喬遷之喜
104,國文,2,2.下列文句，何者文意最為通暢？(A)因為你不去，我還是要去(B)他年紀既然小，膽子卻不小(C)雖然這是第一次，所以做得很好(D)她的作品不是不好，而是缺少創意
104,國文,3,3.「當部分亞洲國家為了生產足夠的稻米而焦頭爛額之際，泰國稻米的產量卻多到一年出口九百萬噸，是全世界最大稻米輸出國。泰國成為世界米倉的原因是：民營企業非常有效率，擁有大量平坦肥沃的三角洲和充沛的水源，再加上政府機關支持民間銀行貸款給小農購買種子、肥料。以上種種，使泰國在米糧危機中占盡利益。」這段文字的主旨為下列何者？(A)泰國米質提升的技術(B)泰國稻米盛產的原因(C)泰國稻米行銷的方式(D)泰國復興米業的計畫
104,國文,4,4.下列詞語「」中的字音，何組相同？(A)風聲鶴「唳」／暴「戾」之氣(B)「揖」讓而升／查「緝」走私(C)「擣」米去糠／陶「鑄」品行(D)再三叮「嚀」／滿地泥「濘」
104,國文,5,5.「時然後言，人不厭其言。」這句話的涵義，與下列何者最接近？(A)沉默是金，可免禍從口出(B)善傾聽者，聞言必加審查(C)適時發言，方為人所接受(D)經常練習，言語方能動聽
104,國文,6,6.下列詞語，何者沒有錯別字？(A)營私舞幣(B)武功祕笈(C)試目以待(D)時代先軀
104,國文,7,7.下列選項「」中的疊字，何者是用來描摹聲音的狀聲詞？(A)「嘖嘖」稱奇的老師(B)「侃侃」而談的官員(C)「滔滔」不絕的名嘴(D)「聲聲」叮嚀的母親
104,國文,8,8.小王和小林第一次碰面，下列寒暄的語句，何者最不適合出現在他們的對話中？(A)久違了，很高興見到你(B)真是聞名不如見面啊(C)久仰了，請多多指教(D)幸會，幸會
104,國文,9,9.「物產豐富」中的「物產」是本句的主語。下列各選項「」中的語詞，何者不做主語使用？(A)「四海」昇平(B)「群魔」亂舞(C)「氣焰」囂張(D)「百年」樹人
104,國文,10,10.「豆，古代食器，用以盛肉醬一類食物，器淺如盤，下有一足，大多數有蓋。春秋以後，豆增多，側有兩環，下具高足。到戰國時期，器腹變深，蓋上有捉手，可以仰置。」根據這段敘述，下列何者最可能是戰國時期的「豆」器？(A)(B)(C)(D)
104,國文,11,11.「有農夫種茄不活，求計於農務司，司吏曰：『此不難，每茄根下埋一文即活。』問其何故，答曰：『有錢者生，無錢者死。』」這段文字主要在揭露世間哪一種醜態？(A)貪官好賄，索求無度(B)官商勾結，欺瞞大眾(C)不務正道，盡信偏方(D)鑽營旁門，好走捷徑
104,國文,12,12.下列詩句，何者與「亂花漸欲迷人眼，淺草纔能沒馬蹄」所描述的季節相同？(A)金風扇微涼，遠煙凝翠晶(B)樓倚霜樹外，鏡天無一毫(C)隨風柳絮輕，映日杏花明(D)黃葉覆溪橋，荒村惟古木
104,國文,13,13.一家書店的外牆寫著：「在我看來，托爾斯泰和杜思妥也夫斯基比隔壁鄰居更真實。更奇怪的是，早在我尚未出生以前，杜思妥也夫斯基就在一本叫做《白痴》的書中，寫出了我的人生故事。」根據這段文字，下列推論何者最恰當？(A)作者過於耽溺書本，鄰居鮮少與他往來(B)作者的人生經歷被杜思妥也夫斯基寫入書中(C)從托氏與杜氏的書中，作者看到了真實的人生(D)閱讀托氏與杜氏的作品，作者有知音難遇的感慨
104,國文,14,14.「我只希望，我們的距離□我和所有野鳥的距離，永遠是這樣接近。」句中空格處填入下列哪一種標點符號最恰當？(A)；(B)！(C)……(D)――
104,國文,15,15.「我的記憶運作得像一面蜘蛛網。不重要的事物，比如風，就讓它們過去；但捕獲的蒼蠅就懸掛在網上加以儲存，直到我那心智的蜘蛛需要時再吃掉。」這段文字的涵義，與下列何者最接近？(A)記憶應視事物的輕重而有所擇取(B)往事如風，既已逝去，就無須記憶(C)記憶如獵物，運用技巧才能捕獲它(D)存在腦中的記憶終將隨著時間而消散
104,國文,16,16.「盡忠益時者雖仇必賞，犯法怠慢者雖親必罰。」這句話所強調的執法原則，與下列何者相去最遠？(A)恩必加於有功，刑必斷於有罪(B)不因喜以加賞，不因怒以加罰(C)勝法之務莫急於去奸，去奸之本莫深於嚴刑(D)衡之於左右，繩之於內外，無私輕重是為公正
104,國文,17,17.「細菌和殺死它們的抗生素之間的戰爭，就如同大國之間的軍備競爭，精益求精，更相勝出，__________。」畫線處填入下列何者最能說明上述比喻的內涵？(A)數十年來，細菌在這場戰爭中逐漸占優勢，和抗生素的關係就像一個慢慢失去平衡的蹺蹺板(B)在抗生素的攻擊下，通常會有少數突變的細菌存活，它們會繁殖，同時也將保護它們的基因傳遞下去(C)面對抗生素，存活下來具抵抗力的細菌將不斷繁衍壯大；為了消滅具抵抗力的細菌，人類又研發出更強的抗生素(D)人類要研發出能對抗細菌又不會傷害人體的抗生素，非常困難。若研發失
104,國文,18,18.袁宏道與友人書云：「人情必有所寄，然後能樂。故有以弈為寄，有以色為寄，有以技為寄，有以文為寄。古之達人，高人一層，只是他情有所寄，不肯浮泛虛度光景。」這段文字的主要涵義，與下列何者最接近？(A)以物為寄應該有所節制，不可浮濫(B)古之達人寄懷於民，不求一己之樂(C)情感有所依託，生命方能愉悅自適(D)習得多種才藝，方能晉身達人之列
104,國文,19,19.下列文句，何者有語病？(A)時光飛逝，故鄉的松濤只能在回憶裡澎湃(B)在國中畢業前夕，我們聚在一起緬懷未來(C)對許多人而言，巴黎的浪漫並非不可企及(D)為了遠離塵俗，我跋山涉水來到這片山林
104,國文,20,20.民初某學者仍留著前朝的舊髮式，拖著一條辮子去北大授課，學生哄堂大笑，他說：「我的辮子一剪就沒有了，但你們心中的辮子恐怕就沒有那麼容易剪掉了。」他話中的涵義，與下列何者最接近？(A)剃一人之髮，易；剃萬人之髮，難(B)復舊時之制，易；立今世之制，難(C)破山中之賊，易；破心中之賊，難(D)察小人之過，易；知君子之過，難
104,國文,21,21.「如果每個人都是特別的，那就沒有一個特別；如果每個人都得到一個獎杯，獎杯就變得毫無意義。生活最甜美的樂趣，在於承認自己並不特別。」這段文字的涵義，與下列何者最接近？(A)不要強調自己與眾不同(B)追逐名利其實毫無意義(C)認真生活才有甜美的樂趣(D)生活樂在發掘他人的特別
104,國文,22,22.下列文句，何者用字完全正確？(A)各種跡象一再顯示他有犯罪嫌疑(B)紐約是個交通便利、人口綢密的都市(C)認真負責的態度，是他履創佳績的關鍵(D)你整天遊手好閒，只是突然虛度光陰罷了
104,國文,23,23.「書，飢讀之以當肉；寒讀之以當裘；孤寂而讀之，以當友朋；幽憂而讀之，以當金石琴瑟也。」這句話的涵義，與下列何者最接近？(A)讀書百遍義自現，尋根求源探其妙(B)處逆何妨將書讀，興味來時百憂除(C)紙上得來終覺淺，方知此事要躬行(D)求學當如飢索食，問道應似寒需衣
104,國文,24,24.白居易〈題山石榴花〉：「一叢千朵壓闌干，剪碎紅綃卻作團。風嫋舞腰香不盡，露銷妝臉淚新乾。薔薇帶刺攀應懶，菡萏生泥玩亦難。爭及此花檐戶下，任人12採弄盡人看。」下列關於這首詩的說明，何者錯誤？(A)「剪碎紅綃卻作團」――描寫山石榴花的形態1.菡萏：荷花的別名(B)「露銷妝臉淚新乾」――描寫賞花人心緒神態2.爭及：哪裡比得上(C)「薔薇帶刺攀應懶」――意指薔薇有刺，使人懶於採摘(D)「菡萏生泥玩亦難」――意指荷花長於淤泥，不易親近
104,國文,25,25.「如果有人認為文學是不著塵色的白裳，那是因為他遺忘了『現實』這一件緇衣。崇拜詩聖杜甫的人，不見得讀得懂『杜詩』，但我們不難想像，當杜甫自外訪友歸來，一進門問他老妻第一句話，也許是：『尚有油鹽否？』」根據文意，下列何者最符合本文作者的看法？(A)偉大的詩人也須面對生活中的問題(B)超脫世俗觀點的文學作品最為動人(C)物質生活的滿足與文學創作難以兼顧(D)杜詩的可貴之處在於以生活瑣事入詩
104,國文,26,26.下列文句「」中的字詞，何者意義前後相同？(A)「曾」不吝情去留／「曾」益其所不能(B)「安」能辨我是雄雌／爾「安」敢輕吾射(C)「行」拂亂其所為／月色入戶，欣然起「行」(D)「當」窗理雲鬢／使安期有此性，猶「當」無一豪可論
104,國文,27,27.「余猶及見老儒先生，自言其少時，欲求《史記》、《漢書》而不可得，幸而得之，皆手自書，日夜誦讀，惟恐不及。近歲市人轉相摹刻諸子百家之書，日傳萬紙，學者之於書，多且易致如此，其文詞學術，當倍蓰於昔人，而後生科舉之1士皆束書不觀，游談無根，此又何也？」下列敘述何者最符合這段文字的意旨？(A)喜見印刷術進步，學術創作大量增加(B)讚許後生可畏，高談闊論，縱橫無礙1.蓰：音ㄒㄧˇ，五倍(C)自傷書本取得不易，學識難與後輩抗衡(D)感嘆讀書風氣日下，與書籍出版量不成正比
104,國文,28,28.下列文句「」中的成語，何者使用最恰當？(A)他為人作惡多端，今日落得如此下場，真是「甕中捉鱉」(B)多年之後重回故鄉，不禁有「移山倒海」、世事多變之嘆(C)他對流浪動物毫不關心，視之如「白雲蒼狗」，不屑一顧(D)這家臺菜館味美價廉，難怪客人絡繹不絕、「戶限為穿」
104,國文,29,29.有盜年羹堯大將軍坐騎者，為岳鍾琦部所執，將科以刑。年知之即索此人，__________。年因語岳曰：「此人敢盜余坐騎，膽量可知，故吾宥其罪，用其所長，料必能達成此一使命也。」其識人、推恩也，悉類此。根據文意脈絡判斷，畫線處應填入下列何者最恰當？(A)命為車駕，兼飼坐騎，以折其罪(B)慎審之，憫其迫於饑寒，乃縱而歸之(C)令縛於地，縱馬往來其側以懾之，盜驚悸股慄(D)先釋其罪，並賞一官，飭其率兵往劫敵營，全勝而回
104,國文,31,31.「世人以竹、木、牙、骨之類為『叫子』，置人喉中吹之，能作人言，謂之『嗓叫子』。嘗有病瘖者，為人所誣，煩冤無以自言。聽訟者試取叫子，令嗓之，1作聲如傀儡子，粗能辨其一二，其冤獲伸。此亦可記也。」根據這段文字，下2列有關「叫子」的敘述，何者無法明確得知？(A)能幫助因生病而不能說話的人發聲(B)製作叫子的材料有竹、木、牙、骨1.瘖：音ㄧㄣ，嗓啞不能出聲(C)古人製作叫子是為了協助聽訟者斷案2.傀儡子：木偶(D)因置於喉部，能出人聲，故又稱嗓叫子
104,國文,32,32.相較於廣大的平民百姓，政務官、事務官、民意代表、媒體記者、知識分子都是掌有權力的人。政務官負責政策的擘劃，事務官負責政策的執行，民意代表負責審查，媒體記者負責監督，知識分子用知識和筆做時代的眼光。細究之下，每一種權力都很可怕，它可以興邦，可以覆邦，影響這一代人的此刻，下一代人的未來。掌權的人對自己手中所握有的權力——權力的性質、權力的界限、權力的責任，是否深思過呢？作者寫作這段文字的用意，最可能是下列何者？(A)分析權力的種類並比較其影響力(B)說明各種權力之間必須互相制衡(C)警惕掌權的人使用權力時應戒慎恐懼(D)強調知識分子應負起繼往開來的社會責任
104,國文,33,33.以下是小臻在國文課所做的筆記，一時大意寫錯一處。筆記中的錯處應是下列何者？(cid:31)(cid:31)(cid:31)(cid:31)(cid:31)(cid:31)(cid:31)(cid:31)(cid:31)(cid:31)(cid:31)(cid:31)(A)(B)(C)(D)
104,國文,34,34.根據本文，「我相信對那些有慧根的人，這幾個字也就夠了。留一點餘味讓人咀嚼體會，豈不更好？」這句話的涵義與下列何者最接近？(A)淺近精鍊的語言，含有寬廣的思想空間(B)言語的優美雅致比話題的分量深度更加重要(C)話語，與其說出使人厭煩，不如不說引人期待(D)多聽少說，接受他人的責難，但保留自我的判斷
104,國文,35,35.下列何者最可能是本文所要傳達的人生態度？(A)記取教訓，鑑往知來(B)積極奮進，坦然豁達(C)把握機會，順勢而為(D)謹慎執著，步步為營
