slide順序,年度,題號,分類
1,103,10,實驗器材使用 
2,103,47,圖表製作：資料轉圖表 
3,104,19,實驗設計：材料選用-如果換成OO，會怎樣？ 
4,104,11,從圖表推論原因-為什麼會這樣? 
5,105,21,實驗設計：怎麼設計實驗？ 
6,105,8,圖表判讀：從圖表獲得結論-這代表什麼意思？ 
7,105,15,圖表判讀：從圖表獲得結論-這代表什麼意思？ 
8,106,47,實驗設計：實驗變因選擇 
9,106,33,圖表製作：資料轉圖表 
10,106,11,圖表判讀：讀圖的能力，在圖表中比大小 
11,106,21,圖表判讀 
12,106,48,圖表判讀 
13,107,8,實驗設計：怎麼設計實驗？ 
14,107,35,從圖表推論原因-為什麼會這樣? 
15,107,53,圖表判讀：從圖表獲得結論-這代表什麼意思？ 
16,108,33,圖表判讀：讀圖的能力 
17,108,11,從圖表推論原因-為什麼會這樣? 
18,108,51,圖表判讀：從圖表獲得結論-這代表什麼意思？ 
19,108,3,圖表判讀：從圖表獲得結論-這代表什麼意思？ 
20,108,45,圖表判讀 
21,108,38,論證反駁 
22,109,19,圖表判讀：讀圖的能力，在圖表中比大小 
23,109,54,圖表製作：從結論反推資料 
24,109,21,圖表製作：從結論反推資料 
25,110,1,實驗器材使用 
26,110,50,實驗設計：想要研究什麼？ 
27,110,22,實驗設計：實驗目的、改變步驟、解讀圖表 
28,110,32,從圖表推論原因-為什麼會這樣? 
29,110,11,圖表判讀：從圖表獲得結論-這代表什麼意思？ 
30,110,48,圖表判讀：從圖表獲得結論-這代表什麼意思？ 
31,110,7,圖表判讀：從圖表獲得結論-這代表什麼意思？ 
32,110,45,圖表製作：從結論反推資料 
33,110,8,論證反駁 
34,111,47,實驗設計：想要研究什麼？ 
35,111,50,實驗設計：材料選用-為什麼用這個材料？ 
36,111,14,圖表判讀：從圖表獲得結論-這代表什麼意思？ 
37,111,44,圖表判讀：從圖表獲得結論-這代表什麼意思？ 
38,111,45,圖表判讀：從圖表獲得結論-這代表什麼意思？ 
39,111,24,圖表判讀 
